AN,Quantity,Designator,Comment,Description,Case,Value,Footprint,Revision,Variant,Trenz-Stock,Mixed,Preferred,Technology,Tolerance,Trenz-Article-Number,Voltage,H-ART,Temperature-Range,Storage-Temperature
"30039","1","U6","ADAQ4003BBCZ","ADAQ4003BBCZ","BGA49","","BGA49C80P7X7_700X700X243B45N","01","08-C8A","","SMT","","","","","","ADAQ4003BBCZ","-40/+125",""
"28002","1","U7","DSC6011ME2A-012.0000T","DSC6011ME2A-012.0000T","2.0 mm x 1.6 mm","12M","2016","01","08-C8A","","SMT","","","","","","DSC6011ME2A-012.0000T","",""
"28288","1","U8","ADR4550BRZ","ADR4550BRZ","SO8","","SOIC127P600X175-8N","01","08-C8A","","SMT","","","","","5V","ADR4550BRZ","",""
"27997","1","U9","M93C66-RMC6TG","M93C66-RMC6TG","UFDFPN8","","UFDFPN8","01","08-C8A","Yes","SMT","Yes","","","","","M93C66-RMC6TG","-40/+85",""
"24666","1","U10","LT3032EDE#PBF","LT3032EDE#PBF","DFN14LT","","SON50P400X300X80-14N-LT","01","08-C8A","Yes","SMT","","","","","","LT3032EDE#PBF","",""
"29486","1","U11","LT3471EDD#PBF","LT3471EDD#PBF","WFDFN10","","SON50P300X300X80-11T164","01","08-C8A","Yes","SMT","","","","","","LT3471EDD#PBF","-40/+85","-65/+125(Abs)"
"30038","1","U12","LTC6373HDFM#TRPBF","LTC6373HDFM#TRPBF","DFN12","","SON80P400X400X80-13T","01","08-C8A","","SMT","","","","","","LTC6373HDFM#TRPBF","-40/+125",""
"28939","1","U13","ADP160AUJZ-1.8-R7","ADP160AUJZ-1.8-R7","SOT23-5","","SOT95P280X100-5N","01","08-C8A","","SMT","","","","","1.8V","ADP160AUJZ-1.8-R7","",""
"30127","1","U14","LTC4415EDHC#PBF","LTC4415EDHC#PBF","DFN16","","LTC4415ED","01","08-C8A","","SMT","","","","","","LTC4415EDHC#PBF","0/+85","-65/+150(Abs)"
"27881","1","U16","ADP7118ACPZN-R7","ADP7118ACPZN-R7","DFN8","","SON65P200X200X60-7T10X16","01","08-C8A","","SMT","","","","","","ADP7118ACPZN-R7","",""
"29689","1","U18","74LVC1G79GW,125","74LVC1G79GW,125","SC70-5","","SOT65P210X110-5N","01","08-C8A","","SMT","","","","","","74LVC1G79GW,125","-40/+125","-65/+150(Abs)"
"25961","1","U19","SiT8008BI-73-XXS-100.000000E","SiT8008BI-73-XXS-100.000000E MEMS Oszillator 100MHz","2.0  x 1.6mm","100M","2016","01","08-C8A","Yes","SMT","Yes","","","","","SiT8008BI-73-XXS-100.000000E","",""
